exercise_id,exercise_name,exercise_type,body_part,equipment,primary_muscle,secondary_muscle,movement_type,exercise_image
2022,Weighted + Lever Single Arm Neutral Grip Seated Row,bilateral_simultaneous,back,leverage machine,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/05711101-Lever-Alternating-Narrow-Grip-Seated-Row-(plate-loaded)_Back_small.png
209,Weighted + Lever High Row,bilateral_simultaneous,back,chest press machine,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/05811101-Lever-High-Row-(plate-loaded)_Back_small.png
338,Cable + Wide Grip Rear Pulldown Behind Neck,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/13251101-Cable-Wide-Grip-Rear-Pulldown-Behind-Neck_Back_small.png
347,Leverage Machine + Lever Seated Row,bilateral_simultaneous,back,leverage machine,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/13501101-Lever-Seated-Row_Back_small.png
1569,Barbell + Reverse Grip Bent Over Row,bilateral_simultaneous,back,barbell,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/01181101-Barbell-Reverse-Grip-Bent-over-Row_Back-FIX_small.png
336,Cable + Rope Seated Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/13231101-Cable-Rope-Seated-Row_Back_small.png
89,Cable + Rear Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/02051101-Cable-Rear-Pulldown_Back_small.png
1618,Cable + High Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,"https://apilyfta.com/static/GymvisualPNG/01671101-Cable-High-Row-(kneeling,-rope-attachment)_Back_small.png"
1644,Cable + One Arm Straight Back High Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/01931101-Cable-One-Arm-Straight-Back-High-Row-(kneeling)_Back_small.png
28263,Cable + Neutral Grip Lat Pulldown (Male),bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/75831101-Cable-Neutral-Grip-Lat-Pulldown-(male)_Back_small.png
5589,Cable + Low Row With Rope Attachment,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/43911101-Cable-Low-Row-with-Rope-Attachment_Back_small.png
1665,Cable + Seated One Arm Alternate Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/02141101-Cable-Seated-One-Arm-Alternate-Row_Back_small.png
4282,Cable + Cross Over Lateral Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/30441101-Cable-Cross-over-Lateral-Pulldown-(female)_Back_small.png
1659,Cable + Reverse-Grip Straight Back Seated High Row,bilateral_simultaneous,back,cable,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/02081101-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back-AFIX_small.png
345,Weighted + Lever Reverse Grip Vertical Row,bilateral_simultaneous,back,weighted,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/13481101-Lever-Reverse-Grip-Vertical-Row_Back_small.png
1649,Cable + Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/01981101-Cable-Pulldown_Back_small.png
1601,Cable + Bar Lateral Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/01501101-Cable-Bar-Lateral-Pulldown_Back_small.png
233,Cable + Reverse Grip Machine Lat Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/06731101-reverse-grip-machine-lat-pulldown_Back_small.png
1669,Cable + Seated Wide-Grip Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/02181101-Cable-Seated-Wide-grip-Row_Back_small.png
2622,Cable + One Arm Lat Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/12041101-Cable-one-arm-lat-pulldown_back_small.png
3899,Cable + Seated Row With V Bar,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/26611101-Cable-Seated-Row-with-V-bar_Back_small.png
2025,Weighted + Lever Bent Over Row,bilateral_simultaneous,back,weighted,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/05741101-Lever-Bent-over-Row-(plate-loaded)_Back_small.png
1688,Cable + Straight Arm Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|triceps,isolation,https://apilyfta.com/static/GymvisualPNG/02371101-Cable-Straight-Arm-Pulldown-(with-rope)_Back-FIX_small.png
207,Cable + Lever Front Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/05791101-Lever-Front-Pulldown_Back_small.png
1631,Cable + Low Seated Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/01801101-Cable-Low-Seated-Row_Back_small.png
3729,Cable + Reverse Grip Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/24911101-Cable-Reverse-Grip-Pulldown-(female)_Back_small.png
2623,Cable + One Arm Twisting Seated Row,bilateral_simultaneous,back,cable,latissimus dorsi,obliques|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/12051101-Cable-one-arm-twisting-seated-row_back_small.png
1640,Cable + One Arm Bent Over Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/01891101-Cable-One-Arm-Bent-over-Row_Back-FIX_small.png
3854,Cable + Lateral Pulldown With V-Bar,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/26161101-Cable-Lateral-Pulldown-with-V-bar_Back_small.png
4464,Cable + Seated Supine-Grip Row,bilateral_simultaneous,back,cable,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/32331101-Cable-Seated-Supine-grip-Row-(male)_Back_small.png
5314,Trap Bar + Bent Over Row,bilateral_simultaneous,back,trap bar,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/41041101-Trap-Bar-Bent-Over-Row-(male)_Back_small.png
1500,Barbell + Incline Row,bilateral_simultaneous,back,barbell,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/00491101-Barbell-Incline-Row_Back_small.png
61,Cable + Cross-Over Lateral Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/01531101-Cable-Cross-over-Lateral-Pulldown_Back_small.png
28040,Cable + Single Arm High Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://www.lyfta.app/_next/image?url=https%3A%2F%2Flyfta.app%2Fimages%2Fexercises%2F01931101.png&w=1920&q=75
4828,Cable + Seated Wide Grip Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/35981101-Cable-Seated-Wide-grip-Row-(female)_Back_small.png
108,Cable + Underhand Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/02451101-Cable-Underhand-Pulldown_Back_small.png
2645,Weighted + Lever One Arm Seated Row,bilateral_simultaneous,back,chest press machine,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/12351101-Lever-One-Arm-Seated-Row-(Seated-row-machine)_Back_small.png
300,Weighted + Lever Lying T-Bar Row,bilateral_simultaneous,back,weighted,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/11941101-Lever-Lying-T-bar-Row_Back_small.png
5389,Cable + Seated Pullover,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|triceps,isolation,https://apilyfta.com/static/GymvisualPNG/41801101-Cable-Seated-Pullover_Back_small.png
2729,Weighted + Lever One Arm Lateral High Row,bilateral_simultaneous,back,leverage machine,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/13561101-Lever-One-Arm-Lateral-High-Row_Back_small.png
5436,Cable + Half Kneeling Push Pull,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/42281101-Cable-Half-Kneeling-Push-Pull_Back_small.png
4437,Weighted + Lever Bent-Over Row With V-Bar,bilateral_simultaneous,back,weighted,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/32001101-Lever-Bent-over-Row-with-V-bar-(plate-loaded)_Back_small.png
2023,Body Weight + Lever Assisted Chin-Up,assisted_bodyweight,back,body weight,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/05721101-Lever-Assisted-Chin-Up_Back_small.png
1458,Cable + Alternate Lateral Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/00071101-Alternate-Lateral-Pulldown_back_small.png
5425,Cable + Wide Neutral Grip Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/42171101-Cable-Wide-Neutral-Grip-PullDown_Back_small.png
5313,Trap Bar + Standing Shrug,bilateral_simultaneous,back,trap bar,trapezius,levator scapulae|rhomboids,isolation,https://apilyfta.com/static/GymvisualPNG/41031101-Trap-Bar-Standing-Shrug-(male)_Back_small.png
3903,Leverage Machine + Lever Lateral Wide Pulldown,bilateral_simultaneous,back,leverage machine,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/26651101-Lever-Lateral-Wide-Pulldown_Back_small.png
1744,Dumbbell + Bent Over Row,bilateral_simultaneous,back,dumbbell,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/02931101-Dumbbell-Bent-Over-Row_Back-FIX_small.png
1748,Dumbbell + Concentration Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/02971101-Dumbbell-Concentration-Curl_Upper-Arms_small.png
2985,Dumbbell + Step Up Single Leg Balance With Bicep Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|quadriceps|glutes,compound,https://apilyfta.com/static/GymvisualPNG/16841101-Dumbbell-Step-Up-Single-Leg-Balance-with-Bicep-Curl_Upper-Arms_small.png
2943,Cable + One Arm Preacher Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16331101-Cable-One-Arm-Preacher-Curl_Upper-Arms_small.png
418,Dumbbell + Seated Hammer Curl,bilateral_simultaneous,biceps,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16781101-Dumbbell-Seated-Hammer-Curl_Upper-Arms_small.png
1766,Dumbbell + Incline Biceps Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/03151101-Dumbbell-Incline-Biceps-Curl_Upper-Arms_small.png
27217,Cable + Unilateral Bicep Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/48381101-Cable-Unilateral-Bicep-Curl_Upper-Arms_small.png
1844,Dumbbell + Seated Inner Biceps Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/03931101-Dumbbell-Seated-Inner-Biceps-Curl_Upper-Arms_small.png
4322,Dumbbell + Single Arm Preacher Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/30841101-Dumbbell-Single-Arm-Preacher-Curl-(female)_Upper-Arms_small.png
1745,Dumbbell + Biceps Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/02941101-Dumbbell-Biceps-Curl_Upper-Arms_small.png
3819,Cable + One Arm Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/25811101-Cable-One-Arm-Curl-(female)_Upper-Arms_small.png
414,Dumbbell + Biceps Curl Reverse,bilateral_simultaneous,biceps,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16541101-Dumbbell-Biceps-Curl-Reverse_Upper-Arms_small.png
1557,Barbell + Standing Close Grip Curl,bilateral_simultaneous,biceps,barbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/01061101-Barbell-Standing-Close-Grip-Curl_Upper-Arms_small.png
4306,Cable + Standing Biceps Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/30681101-Cable-Standing-Biceps-Curl-(with-rope)-(female)_Forearms_small.png
1771,Dumbbell + Incline Hammer Curl,bilateral_simultaneous,biceps,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/03201101-Dumbbell-Incline-Hammer-Curl_Upper-Arms_small.png
1842,Dumbbell + Seated Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/03911101-Dumbbell-Seated-Curl_Upper-Arms_small.png
2956,Dumbbell + Alternate Seated Hammer Curl,unilateral_alternating,biceps,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16481101-Dumbbell-Alternate-Seated-Hammer-Curl_Upper-Arms_small.png
2969,Dumbbell + One Arm Hammer Preacher Curl,unilateral_alternating,biceps,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16631101-Dumbbell-One-Arm-Hammer-Preacher-Curl_Upper-Arms_small.png
1879,Dumbbell + Standing Preacher Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/04281101-Dumbbell-Standing-Preacher-Curl_Upper-Arms_small.png
4912,Dumbbell + Incline Alternate Bicep Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/36821101-Dumbbell-Incline-Alternate-Bicep-Curl_Upper-Arms_small.png
411,Cable + Drag Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16321101-Cable-Drag-Curl_Upper-Arms_small.png
3894,Cable + One Arm Biceps Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/26561101-Cable-One-Arm-Biceps-Curl-(VERSION-2)_Upper-Arms_small.png
2983,Dumbbell + Standing One Arm Curl Over Incline Bench,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16801101-Dumbbell-Standing-One-Arm-Curl-Over-Incline-Bench_Upper-Arms_small.png
138,Dumbbell + Incline Inner Biceps Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/03221101-Dumbbell-Incline-Inner-Biceps-Curl_Upper-Arms_small.png
2980,Dumbbell + Reverse Spider Curl,bilateral_simultaneous,biceps,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16751101-Dumbbell-Reverse-Spider-Curl_Upper-Arms_small.png
1825,Dumbbell + Prone Incline Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/03741101-Dumbbell-Prone-Incline-Curl_Upper-Arms_small.png
5229,Dumbbell + Standing Single Spider Curl,unilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/40171101-Dumbbell-Standing-Single-Spider-Curl_Upper-Arms_small.png
39,Barbell + Seated Close-Grip Concentration Curl,bilateral_simultaneous,biceps,barbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/00891101-Barbell-Seated-Close-grip-Concentration-Curl_Upper-Arms_small.png
1646,Cable + Preacher Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/01951101-Cable-Preacher-Curl_Upper-Arms_small.png
5755,Dumbbell + Standing Biceps Curl To Shoulder Press,bilateral_simultaneous,biceps,dumbbell,biceps brachii,front deltoids|side deltoids|brachialis,compound,https://apilyfta.com/static/GymvisualPNG/45741101-Dumbbell-Standing-Biceps-Curl-to-Shoulder-Press-(male)_Shoulders_small.png
4917,Dumbbell + Drag Bicep Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/36871101-Dumbbell-Drag-Bicep-Curl_Upper-Arms_small.png
2979,Dumbbell + Prone Incline Hammer Curl,bilateral_simultaneous,biceps,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16741101-Dumbbell-Prone-Incline-Hammer-Curl_Upper-Arms_small.png
2948,Cable + Rope Hammer Preacher Curl,bilateral_simultaneous,biceps,cable,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16391101-Cable-Rope-Hammer-Preacher-Curl_Upper-Arms_small.png
1823,Dumbbell + Preacher Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/03721101-Dumbbell-Preacher-Curl_Upper-Arms_small.png
4295,Cable + Pulldown Bicep Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/30571101-Cable-Pulldown-Bicep-Curl-(female)_Upper-Arms_small.png
2975,Dumbbell + One Arm Standing Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16701101-Dumbbell-One-Arm-Standing-Curl_Upper-Arms_small.png
3818,Cable + Standing Inner Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/25801101-Cable-Standing-Inner-Curl-(female)_Upper-Arms_small.png
1521,Barbell + Preacher Curl,bilateral_simultaneous,biceps,barbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/00701101-Barbell-Preacher-Curl_Upper-Arms-AFIX_small.png
2977,Dumbbell + One Arm Zottman Preacher Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16721101-Dumbbell-One-Arm-Zottman-Preacher-Curl_Upper-Arms_small.png
1736,Dumbbell + Alternate Biceps Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/02851101-Dumbbell-Alternate-Biceps-Curl_Upper-Arms-AFIX_small.png
2643,Dumbbell + Incline Alternate Hammer Curl,unilateral_alternating,biceps,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/12331101-Dumbbell-Incline-Alternate-Hammer-Curl_Upper-Arms_small.png
13,Barbell + Drag Curl,bilateral_simultaneous,biceps,barbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/00381101-Barbell-Drag-Curl_Upper-Arms_small.png
2949,Cable + Rope One Arm Hammer Preacher Curl,bilateral_simultaneous,biceps,cable,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16401101-Cable-Rope-One-Arm-Hammer-Preacher-Curl_Upper-Arms_small.png
2944,Cable + Lying Bicep Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16341101-Cable-Lying-Bicep-Curl_Upper-Arms_small.png
417,Dumbbell + Seated Bicep Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16771101-Dumbbell-Seated-Bicep-Curl_Upper-Arms_small.png
1890,Dumbbell + Zottman Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/04391101-Dumbbell-Zottman-Curl_Upper-Arms-FIX_small.png
416,Dumbbell + High Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16641101-Dumbbell-High-Curl_Upper-Arms_small.png
4279,Cable + Close Grip Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/30411101-Cable-Close-Grip-Curl-(female)_Upper-Arms_small.png
5548,Cable + Lying Regular Grip Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/43501101-Cable-Lying-Regular-grip-Curl-(female)_Upper-Arms_small.png
408,Barbell + Standing Wide Grip Biceps Curl,bilateral_simultaneous,biceps,barbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16291101-Barbell-Standing-Wide-Grip-Biceps-Curl_Upper-Arms_small.png
1873,Dumbbell + Standing One Arm Curl,unilateral_alternating,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/04221101-Dumbbell-Standing-One-Arm-Curl-(over-incline-bench)_Upper-Arms_small.png
409,Cable + Close Grip Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16301101-Cable-Close-Grip-Curl_Upper-Arms_small.png
1853,Dumbbell + Seated Preacher Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/04021101-Dumbbell-Seated-Preacher-Curl_Upper-Arms_small.png
6,Barbell + Curl,bilateral_simultaneous,biceps,barbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/00311101-Barbell-Curl_Upper-Arms-FIX_small.png
1867,Dumbbell + Standing Biceps Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/04161101-Dumbbell-Standing-Biceps-Curl_Upper-Arms_small.png
1768,Dumbbell + Incline Curl,bilateral_simultaneous,biceps,dumbbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/03171101-Dumbbell-Incline-Curl-II_Upper-Arms_small.png
82,Cable + One Arm Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/01901101-Cable-One-Arm-Curl_Upper-Arms_small.png
47,Barbell + Standing Wide-Grip Curl,bilateral_simultaneous,biceps,barbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/01131101-Barbell-Standing-Wide-grip-Curl_Upper-Arms_small.png
3645,Barbell + Biceps Curl,bilateral_simultaneous,biceps,barbell,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/24071101-Barbell-Biceps-Curl-(with-arm-blaster)_Upper-arms_small.png
304,Cable + One Arm Inner Biceps Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/12031101-Cable-one-arm-inner-biceps-curl_upper-arms_small.png
412,Cable + Overhead Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/16361101-Cable-Overhead-Curl_Upper-Arms_small.png
2319,Cable + Curl,bilateral_simultaneous,biceps,cable,biceps brachii,brachialis|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/08681101-Cable-Curl-(male)_Upper-Arms-FIX_small.png
1749,Dumbbell + Cross Body Hammer Curl,unilateral_alternating,biceps|forearms,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/02981101-Dumbbell-Cross-Body-Hammer-Curl_Forearms_small.png
3640,Dumbbell + Hammer Curls,bilateral_simultaneous,biceps|forearms,dumbbell,brachialis,biceps brachii|forearms,isolation,https://apilyfta.com/static/GymvisualPNG/24021101-Dumbbell-Hammer-Curls-(with-arm-blaster)_Forearms_small.png
4472,Dumbbell + Exercise Ball On The Wall Calf Raise,bilateral_simultaneous,calves,dumbbell,gastrocnemius|soleus,,isolation,https://apilyfta.com/static/GymvisualPNG/32411101-Exercise-Ball-on-the-Wall-Calf-Raise-(tennis-ball-between-ankles)_Calves_small.png
27723,Dumbbell + Walking Calf Raise,unilateral_alternating,calves,dumbbell,gastrocnemius|soleus,,isolation,https://apilyfta.com/static/GymvisualPNG/56981101-Dumbbell-Walking-Calf-Raise_Calves_small.png
358,Smith Machine + Smith Toe Raise,bilateral_simultaneous,calves,smith machine,tibialis anterior,,isolation,https://apilyfta.com/static/GymvisualPNG/13961101-Smith-Toe-Raise_Calves_small.png
27658,Weighted + Seated Calf Raise (Version 2),bilateral_simultaneous,calves,dumbbell,gastrocnemius|soleus,,isolation,https://apilyfta.com/static/GymvisualPNG/54831101-Weighted-Seated-Calf-Raise-(VERSION-2)_Calves_small.png
3999,Weighted + Ankle - Dorsal Flexion - Articulations,bilateral_simultaneous,calves,body weight,tibialis anterior,,isolation,https://apilyfta.com/static/GymvisualPNG/27611101-Ankle---Dorsal-Flexion_Articulations_small.png
307,Leverage Machine + Lever Seated One Leg Calf Raise,bilateral_simultaneous,calves,leverage machine, gastrocnemius|soleus,,isolation,https://apilyfta.com/static/GymvisualPNG/12161101-Lever-seated-one-leg-calf-raise_calves_small.png
3573,Leverage Machine + Lever Seated Calf Press,bilateral_simultaneous,calves,leverage machine,gastrocnemius|soleus,,isolation,https://apilyfta.com/static/GymvisualPNG/23351101-Lever-Seated-Calf-Press_Calves_small.png
28188,Leverage Machine + Lever Seated Calf Press (Version 2) (Male),bilateral_simultaneous,calves,leverage machine,gastrocnemius|soleus,,isolation,https://apilyfta.com/static/GymvisualPNG/71761101-Lever-Seated-Calf-Press-(VERSION-2)-(male)_Calves_small.png
