exercise_id,exercise_name,exercise_type,body_part,equipment,primary_muscle,secondary_muscle,movement_type,exercise_image
107,Cable + Triceps Pushdown,bilateral_simultaneous,triceps,cable,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/02411101-Cable-Triceps-Pushdown-(V-bar-attachment)_Upper-Arms_small.png
3033,Dumbbell + Standing Bent Over One Arm Triceps Extension,unilateral_alternating,triceps,dumbbell,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/17401101-Dumbbell-Standing-Bent-Over-One-Arm-Triceps-Extension_Upper-Arms_small.png
3032,Dumbbell + Standing Alternating Tricep Kickback,unilateral_alternating,triceps,dumbbell,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/17391101-Dumbbell-Standing-Alternating-Tricep-Kickback_Upper-Arms_small.png
27810,Cable + Seated High Pulley Overhead Triceps Extension,bilateral_simultaneous,triceps,cable,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/59161101-Cable-Seated-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_small.png
56,Body Weight + Bench Dip,bilateral_simultaneous,triceps,body weight,triceps longus|triceps lateralis|triceps medialis,upper chests|middle chests|small chest muscles,isolation,https://apilyfta.com/static/GymvisualPNG/01291101-Bench-Dip-(knees-bent)_Upper-Arms_small.png
4278,Cable + Bar High Pulley Overhead Tricep Extension,bilateral_simultaneous,triceps,cable,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/30401101-Cable-Bar-High-Pulley-Overhead-Tricep-Extension-(female)_Upper-Arms_small.png
1795,Dumbbell + Lying One Arm Pronated Triceps Extension,unilateral_alternating,triceps,dumbbell,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/03441101-Dumbbell-Lying-One-Arm-Pronated-Triceps-Extension_Upper-Arms_small.png
27954,Dumbbell + Seated Single Arm Overhead Triceps Extension,unilateral_alternating,triceps,dumbbell,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/61581101-Dumbbell-Seated-Single-Arm-Overhead-Triceps-Extension_Upper-Arms_small.png
2128,Body Weight + Ring Dips,bodyweight_full,triceps,body weight,triceps longus|triceps lateralis|triceps medialis,upper chests|middle chests|small chest muscles|front deltoids,compound,https://apilyfta.com/static/GymvisualPNG/06771101-Ring-Dip_Upper-Arms-FIX_small.png
3019,Cable + One Arm Tricep Pushdown,bilateral_simultaneous,triceps,cable,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/17231101-Cable-One-Arm-Tricep-Pushdown_Upper-Arms_small.png
2639,Cable + Standing One Arm Tricep Pushdown,bilateral_simultaneous,triceps,cable,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/12271101-Cable-Standing-One-Arm-Tricep-Pushdown-(Overhand-Grip)_Upper-Arms_small.png
1781,Dumbbell + Incline Triceps Extension,bilateral_simultaneous,triceps,dumbbell,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/03301101-Dumbbell-Incline-Triceps-Extension_Upper-Arms-FIX_small.png
428,Dumbbell + Lying Single Extension,unilateral_simultaneous,triceps,dumbbell,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/17351101-Dumbbell-Lying-Single-Extension_Upper-Arms_small.png
1655,Cable + Rear Drive,bilateral_simultaneous,triceps,cable,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/02041101-Cable-Rear-Drive_Upper-Arms_small.png
4308,Cable + Two Arm Tricep Kickback,bilateral_simultaneous,triceps,cable,triceps longus|triceps lateralis|triceps medialis,,isolation,https://apilyfta.com/static/GymvisualPNG/30701101-Cable-Two-Arm-Tricep-Kickback-(female)_Upper-Arms_small.png
4617,Body Weight + Dips Between Chairs,bodyweight_full,triceps|chest,body weight,triceps longus|triceps lateralis|triceps medialis,upper chests|middle chests|small chest muscles|front deltoids,compound,https://apilyfta.com/static/GymvisualPNG/33871101-Dips-between-Chairs_Chest_small.png
2762,Body Weight + Bench Dip On Floor,bilateral_simultaneous,triceps|chest,body weight,triceps longus|triceps lateralis|triceps medialis,upper chests|middle chests|small chest muscles|front deltoids,compound,https://apilyfta.com/static/GymvisualPNG/13991101-Bench-dip-on-floor_Upper-Arms_small.png
4673,Body Weight + Dip On Floor With Chair,bilateral_simultaneous,triceps|chest,body weight,triceps longus|triceps lateralis|triceps medialis,upper chests|middle chests|small chest muscles|front deltoids,compound,https://apilyfta.com/static/GymvisualPNG/34431101-Dip-on-Floor-with-Chair_Chest_small.png
262,Body Weight + Triceps Dip,bodyweight_full,triceps|chest,body weight,triceps longus|triceps lateralis|triceps medialis,upper chests|middle chests|small chest muscles|front deltoids,compound,https://apilyfta.com/static/GymvisualPNG/08141101-Triceps-Dip_Upper-Arms_small.png
